name;num_cmds;vector;rbtree;create_time;cmd_time;memory_kb
Anaplasma_phagocytophilum;1000000;1;1;175;9513;16564
Anaplasma_phagocytophilum;1000000;1;0;193;3838;16432
Anaplasma_phagocytophilum;1000000;0;1;264;1750;109116
Anaplasma_phagocytophilum;1000000;0;0;268;1510;109124
Anaplasma_phagocytophilum;100000;1;1;174;823;16564
Anaplasma_phagocytophilum;100000;1;0;216;448;16432
Anaplasma_phagocytophilum;100000;0;1;297;197;109116
Anaplasma_phagocytophilum;100000;0;0;282;143;109124
Anaplasma_phagocytophilum;10000;1;1;183;82;16564
Anaplasma_phagocytophilum;10000;1;0;179;36;16432
Anaplasma_phagocytophilum;10000;0;1;273;17;109116
Anaplasma_phagocytophilum;10000;0;0;403;12;109124
Anaplasma_phagocytophilum;1000;1;1;189;7;16564
Anaplasma_phagocytophilum;1000;1;0;195;3;16432
Anaplasma_phagocytophilum;1000;0;1;280;1;109116
Anaplasma_phagocytophilum;1000;0;0;309;1;109124
Anaplasma_phagocytophilum;100;1;1;285;1;16564
Anaplasma_phagocytophilum;100;1;0;182;0;16432
Anaplasma_phagocytophilum;100;0;1;286;0;109116
Anaplasma_phagocytophilum;100;0;0;313;0;109124
Escherichia_coli;1000000;1;1;561;10310;24468
Escherichia_coli;1000000;1;0;674;4849;24204
Escherichia_coli;1000000;0;1;1852;1704;316524
Escherichia_coli;1000000;0;0;845;1147;316416
Escherichia_coli;100000;1;1;558;788;24468
Escherichia_coli;100000;1;0;538;356;24204
Escherichia_coli;100000;0;1;833;155;316524
Escherichia_coli;100000;0;0;833;111;316416
Escherichia_coli;10000;1;1;545;81;24468
Escherichia_coli;10000;1;0;622;33;24204
Escherichia_coli;10000;0;1;841;16;316524
Escherichia_coli;10000;0;0;932;10;316416
Escherichia_coli;1000;1;1;543;7;24468
Escherichia_coli;1000;1;0;542;3;24204
Escherichia_coli;1000;0;1;839;2;316524
Escherichia_coli;1000;0;0;797;0;316416
Escherichia_coli;100;1;1;551;1;24468
Escherichia_coli;100;1;0;541;0;24204
Escherichia_coli;100;0;1;810;0;316524
Escherichia_coli;100;0;0;803;0;316416
Mycobacterium_tuberculosis;1000000;1;1;506;8082;23956
Mycobacterium_tuberculosis;1000000;1;0;543;4585;23824
Mycobacterium_tuberculosis;1000000;0;1;1079;2199;301440
Mycobacterium_tuberculosis;1000000;0;0;850;1321;301328
Mycobacterium_tuberculosis;100000;1;1;565;824;23956
Mycobacterium_tuberculosis;100000;1;0;563;380;23824
Mycobacterium_tuberculosis;100000;0;1;1142;211;301440
Mycobacterium_tuberculosis;100000;0;0;871;142;301328
Mycobacterium_tuberculosis;10000;1;1;599;81;23956
Mycobacterium_tuberculosis;10000;1;0;571;37;23824
Mycobacterium_tuberculosis;10000;0;1;809;21;301440
Mycobacterium_tuberculosis;10000;0;0;807;10;301328
Mycobacterium_tuberculosis;1000;1;1;518;8;23956
Mycobacterium_tuberculosis;1000;1;0;529;3;23824
Mycobacterium_tuberculosis;1000;0;1;787;1;301440
Mycobacterium_tuberculosis;1000;0;0;817;1;301328
Mycobacterium_tuberculosis;100;1;1;531;1;23956
Mycobacterium_tuberculosis;100;1;0;535;0;23824
Mycobacterium_tuberculosis;100;0;1;821;0;301440
Mycobacterium_tuberculosis;100;0;0;809;0;301328
Salmonella_enterica;1000000;1;1;605;8705;25236
Salmonella_enterica;1000000;1;0;597;3887;24972
Salmonella_enterica;1000000;0;1;875;1525;336756
Salmonella_enterica;1000000;0;0;867;1088;336624
Salmonella_enterica;100000;1;1;581;763;25236
Salmonella_enterica;100000;1;0;584;351;24972
Salmonella_enterica;100000;0;1;862;151;336756
Salmonella_enterica;100000;0;0;860;104;336624
Salmonella_enterica;10000;1;1;578;75;25236
Salmonella_enterica;10000;1;0;579;33;24972
Salmonella_enterica;10000;0;1;1074;55;336756
Salmonella_enterica;10000;0;0;998;11;336624
Salmonella_enterica;1000;1;1;608;7;25236
Salmonella_enterica;1000;1;0;575;3;24972
Salmonella_enterica;1000;0;1;859;1;336756
Salmonella_enterica;1000;0;0;965;1;336624
Salmonella_enterica;100;1;1;585;1;25236
Salmonella_enterica;100;1;0;578;0;24972
Salmonella_enterica;100;0;1;878;0;336756
Salmonella_enterica;100;0;0;854;0;336624
