length;num_cmds;vector;rbtree;create_time;cmd_time;memory_kb
1000000;1000000;1;1;133;9184;15408
1000000;1000000;1;0;132;4232;15276
1000000;1000000;0;1;193;2012;78240
1000000;1000000;0;0;181;1192;78240
1000000;100000;1;1;123;794;15408
1000000;100000;1;0;118;359;15276
1000000;100000;0;1;175;157;78240
1000000;100000;0;0;178;112;78240
1000000;10000;1;1;135;97;15408
1000000;10000;1;0;172;77;15276
1000000;10000;0;1;326;20;78240
1000000;10000;0;0;198;12;78240
1000000;1000;1;1;135;8;15408
1000000;1000;1;0;129;3;15276
1000000;1000;0;1;193;1;78240
1000000;1000;0;0;198;1;78240
1000000;100;1;1;124;0;15408
1000000;100;1;0;135;0;15276
1000000;100;0;1;236;0;78240
1000000;100;0;0;218;0;78240
100000;1000000;1;1;15;12260;13088
100000;1000000;1;0;12;4278;13088
100000;1000000;0;1;21;2583;19428
100000;1000000;0;0;21;1798;19428
100000;100000;1;1;12;1048;13088
100000;100000;1;0;12;367;13088
100000;100000;0;1;17;215;19428
100000;100000;0;0;17;164;19428
100000;10000;1;1;13;105;13088
100000;10000;1;0;12;42;13088
100000;10000;0;1;23;53;19428
100000;10000;0;0;24;17;19428
100000;1000;1;1;14;12;13088
100000;1000;1;0;16;4;13088
100000;1000;0;1;26;4;19428
100000;1000;0;0;22;2;19428
100000;100;1;1;11;0;13088
100000;100;1;0;11;0;13088
100000;100;0;1;19;0;19428
100000;100;0;0;17;0;19428
10000;1000000;1;1;1;9157;12832
10000;1000000;1;0;1;4445;12832
10000;1000000;0;1;1;2620;13492
10000;1000000;0;0;1;2823;13492
10000;100000;1;1;2;885;12832
10000;100000;1;0;1;401;12832
10000;100000;0;1;2;271;13492
10000;100000;0;0;2;263;13492
10000;10000;1;1;1;79;12832
10000;10000;1;0;1;75;12832
10000;10000;0;1;2;42;13492
10000;10000;0;0;2;31;13492
10000;1000;1;1;1;8;12832
10000;1000;1;0;1;3;12832
10000;1000;0;1;1;3;13492
10000;1000;0;0;1;2;13492
10000;100;1;1;1;1;12832
10000;100;1;0;1;0;12832
10000;100;0;1;1;0;13492
10000;100;0;0;2;0;13492
1000;1000000;1;1;0;8465;12832
1000;1000000;1;0;0;8687;12832
1000;1000000;0;1;0;5890;12964
1000;1000000;0;0;0;6960;12964
1000;100000;1;1;0;761;12832
1000;100000;1;0;0;789;12832
1000;100000;0;1;0;535;12964
1000;100000;0;0;0;642;12964
1000;10000;1;1;0;66;12832
1000;10000;1;0;0;73;12832
1000;10000;0;1;0;48;12964
1000;10000;0;0;0;64;12964
1000;1000;1;1;0;7;12832
1000;1000;1;0;0;8;12832
1000;1000;0;1;0;4;12964
1000;1000;0;0;0;5;12964
1000;100;1;1;0;0;12832
1000;100;1;0;0;0;12832
1000;100;0;1;0;0;12964
1000;100;0;0;0;0;12964
100;1000000;1;1;0;5166;12832
100;1000000;1;0;0;6541;12832
100;1000000;0;1;0;6388;12832
100;1000000;0;0;0;7321;12832
100;100000;1;1;0;483;12832
100;100000;1;0;0;600;12832
100;100000;0;1;0;461;12832
100;100000;0;0;0;622;12832
100;10000;1;1;0;47;12832
100;10000;1;0;0;63;12832
100;10000;0;1;0;49;12832
100;10000;0;0;0;60;12832
100;1000;1;1;0;5;12832
100;1000;1;0;0;6;12832
100;1000;0;1;0;4;12832
100;1000;0;0;0;6;12832
100;100;1;1;0;0;12832
100;100;1;0;0;1;12832
100;100;0;1;0;0;12832
100;100;0;0;0;0;12832
