name;num_cmds;vector;rbtree;create_time;cmd_time;memory_kb
Anaplasma_phagocytophilum;1000000;0;0;186;8796;16564
Anaplasma_phagocytophilum;1000000;0;1;192;4099;16432
Anaplasma_phagocytophilum;1000000;1;0;296;1850;109116
Anaplasma_phagocytophilum;1000000;1;1;284;1343;109124
Anaplasma_phagocytophilum;100000;0;0;198;855;16564
Anaplasma_phagocytophilum;100000;0;1;204;420;16432
Anaplasma_phagocytophilum;100000;1;0;280;179;109116
Anaplasma_phagocytophilum;100000;1;1;283;135;109124
Anaplasma_phagocytophilum;10000;0;0;201;95;16564
Anaplasma_phagocytophilum;10000;0;1;200;45;16432
Anaplasma_phagocytophilum;10000;1;0;289;18;109116
Anaplasma_phagocytophilum;10000;1;1;278;13;109124
Anaplasma_phagocytophilum;1000;0;0;185;8;16564
Anaplasma_phagocytophilum;1000;0;1;185;3;16432
Anaplasma_phagocytophilum;1000;1;0;279;1;109116
Anaplasma_phagocytophilum;1000;1;1;282;1;109124
Anaplasma_phagocytophilum;100;0;0;203;0;16564
Anaplasma_phagocytophilum;100;0;1;202;0;16432
Anaplasma_phagocytophilum;100;1;0;296;0;109116
Anaplasma_phagocytophilum;100;1;1;276;0;109124
Escherichia_coli;1000000;0;0;583;9012;24468
Escherichia_coli;1000000;0;1;768;4585;24204
Escherichia_coli;1000000;1;0;1116;2735;316524
Escherichia_coli;1000000;1;1;869;1330;316416
Escherichia_coli;100000;0;0;592;822;24468
Escherichia_coli;100000;0;1;570;380;24204
Escherichia_coli;100000;1;0;884;184;316524
Escherichia_coli;100000;1;1;916;169;316416
Escherichia_coli;10000;0;0;624;90;24468
Escherichia_coli;10000;0;1;575;36;24204
Escherichia_coli;10000;1;0;898;17;316524
Escherichia_coli;10000;1;1;843;11;316416
Escherichia_coli;1000;0;0;572;7;24468
Escherichia_coli;1000;0;1;571;3;24204
Escherichia_coli;1000;1;0;890;1;316524
Escherichia_coli;1000;1;1;861;1;316416
Escherichia_coli;100;0;0;578;1;24468
Escherichia_coli;100;0;1;579;0;24204
Escherichia_coli;100;1;0;869;0;316524
Escherichia_coli;100;1;1;870;0;316416
Mycobacterium_tuberculosis;1000000;0;0;548;8317;23956
Mycobacterium_tuberculosis;1000000;0;1;544;3812;23824
Mycobacterium_tuberculosis;1000000;1;0;807;1860;301440
Mycobacterium_tuberculosis;1000000;1;1;796;1233;301328
Mycobacterium_tuberculosis;100000;0;0;539;810;23956
Mycobacterium_tuberculosis;100000;0;1;540;360;23824
Mycobacterium_tuberculosis;100000;1;0;801;166;301440
Mycobacterium_tuberculosis;100000;1;1;823;134;301328
Mycobacterium_tuberculosis;10000;0;0;576;88;23956
Mycobacterium_tuberculosis;10000;0;1;533;35;23824
Mycobacterium_tuberculosis;10000;1;0;824;19;301440
Mycobacterium_tuberculosis;10000;1;1;848;10;301328
Mycobacterium_tuberculosis;1000;0;0;536;7;23956
Mycobacterium_tuberculosis;1000;0;1;535;3;23824
Mycobacterium_tuberculosis;1000;1;0;803;1;301440
Mycobacterium_tuberculosis;1000;1;1;790;1;301328
Mycobacterium_tuberculosis;100;0;0;524;0;23956
Mycobacterium_tuberculosis;100;0;1;535;0;23824
Mycobacterium_tuberculosis;100;1;0;796;0;301440
Mycobacterium_tuberculosis;100;1;1;790;0;301328
Salmonella_enterica;1000000;0;0;666;8150;25236
Salmonella_enterica;1000000;0;1;604;3707;24972
Salmonella_enterica;1000000;1;0;911;1818;336756
Salmonella_enterica;1000000;1;1;888;1198;336624
Salmonella_enterica;100000;0;0;616;801;25236
Salmonella_enterica;100000;0;1;604;369;24972
Salmonella_enterica;100000;1;0;964;163;336756
Salmonella_enterica;100000;1;1;894;118;336624
Salmonella_enterica;10000;0;0;608;81;25236
Salmonella_enterica;10000;0;1;606;38;24972
Salmonella_enterica;10000;1;0;942;16;336756
Salmonella_enterica;10000;1;1;898;13;336624
Salmonella_enterica;1000;0;0;614;8;25236
Salmonella_enterica;1000;0;1;607;3;24972
Salmonella_enterica;1000;1;0;893;2;336756
Salmonella_enterica;1000;1;1;900;1;336624
Salmonella_enterica;100;0;0;614;0;25236
Salmonella_enterica;100;0;1;598;0;24972
Salmonella_enterica;100;1;0;904;0;336756
Salmonella_enterica;100;1;1;893;0;336624
