length;num_cmds;vector;rbtree;create_time;cmd_time;memory_kb
1000000;1000000;0;0;135;8923;15408
1000000;1000000;0;1;125;3857;15276
1000000;1000000;1;0;186;1931;78240
1000000;1000000;1;1;268;1716;78240
1000000;100000;0;0;126;881;15408
1000000;100000;0;1;132;403;15276
1000000;100000;1;0;197;177;78240
1000000;100000;1;1;191;133;78240
1000000;10000;0;0;133;86;15408
1000000;10000;0;1;122;39;15276
1000000;10000;1;0;196;28;78240
1000000;10000;1;1;201;22;78240
1000000;1000;0;0;121;7;15408
1000000;1000;0;1;130;3;15276
1000000;1000;1;0;190;1;78240
1000000;1000;1;1;182;1;78240
1000000;100;0;0;121;0;15408
1000000;100;0;1;141;0;15276
1000000;100;1;0;198;0;78240
1000000;100;1;1;194;0;78240
100000;1000000;0;0;13;11644;13088
100000;1000000;0;1;13;4243;13088
100000;1000000;1;0;18;2242;19428
100000;1000000;1;1;18;1791;19428
100000;100000;0;0;11;1100;13088
100000;100000;0;1;11;380;13088
100000;100000;1;0;17;227;19428
100000;100000;1;1;19;182;19428
100000;10000;0;0;12;114;13088
100000;10000;0;1;13;38;13088
100000;10000;1;0;18;21;19428
100000;10000;1;1;18;17;19428
100000;1000;0;0;11;11;13088
100000;1000;0;1;13;3;13088
100000;1000;1;0;19;2;19428
100000;1000;1;1;19;1;19428
100000;100;0;0;13;1;13088
100000;100;0;1;13;0;13088
100000;100;1;0;18;0;19428
100000;100;1;1;21;0;19428
10000;1000000;0;0;2;8780;12832
10000;1000000;0;1;1;4006;12832
10000;1000000;1;0;2;2914;13492
10000;1000000;1;1;2;2839;13492
10000;100000;0;0;1;857;12832
10000;100000;0;1;1;391;12832
10000;100000;1;0;1;264;13492
10000;100000;1;1;1;290;13492
10000;10000;0;0;1;84;12832
10000;10000;0;1;1;38;12832
10000;10000;1;0;1;26;13492
10000;10000;1;1;1;26;13492
10000;1000;0;0;1;9;12832
10000;1000;0;1;1;3;12832
10000;1000;1;0;2;2;13492
10000;1000;1;1;3;3;13492
10000;100;0;0;1;0;12832
10000;100;0;1;1;0;12832
10000;100;1;0;1;0;13492
10000;100;1;1;2;0;13492
1000;1000000;0;0;0;7372;12832
1000;1000000;0;1;0;7906;12832
1000;1000000;1;0;0;5032;12964
1000;1000000;1;1;0;6335;12964
1000;100000;0;0;0;694;12832
1000;100000;0;1;0;726;12832
1000;100000;1;0;0;511;12964
1000;100000;1;1;0;684;12964
1000;10000;0;0;0;72;12832
1000;10000;0;1;0;70;12832
1000;10000;1;0;0;48;12964
1000;10000;1;1;0;65;12964
1000;1000;0;0;0;6;12832
1000;1000;0;1;0;6;12832
1000;1000;1;0;0;4;12964
1000;1000;1;1;0;7;12964
1000;100;0;0;0;0;12832
1000;100;0;1;0;0;12832
1000;100;1;0;2;0;12964
1000;100;1;1;0;0;12964
100;1000000;0;0;0;5193;12832
100;1000000;0;1;0;6529;12832
100;1000000;1;0;0;4931;12832
100;1000000;1;1;0;8010;12832
100;100000;0;0;0;696;12832
100;100000;0;1;0;673;12832
100;100000;1;0;0;505;12832
100;100000;1;1;0;635;12832
100;10000;0;0;0;52;12832
100;10000;0;1;0;63;12832
100;10000;1;0;0;51;12832
100;10000;1;1;0;61;12832
100;1000;0;0;0;5;12832
100;1000;0;1;0;9;12832
100;1000;1;0;0;3;12832
100;1000;1;1;0;6;12832
100;100;0;0;0;0;12832
100;100;0;1;0;0;12832
100;100;1;0;0;0;12832
100;100;1;1;0;0;12832
