name;num_cmds;vector;rbtree;create_time;cmd_time;memory_kb
Anaplasma_phagocytophilum;100;0;0;233;0;3812
Anaplasma_phagocytophilum;100;0;1;226;0;3764
Anaplasma_phagocytophilum;100;1;0;407;0;50680
Anaplasma_phagocytophilum;100;1;1;404;0;50620
Anaplasma_phagocytophilum;1000;0;0;223;4;3812
Anaplasma_phagocytophilum;1000;0;1;221;4;3756
Anaplasma_phagocytophilum;1000;1;0;398;2;50668
Anaplasma_phagocytophilum;1000;1;1;408;2;50616
Anaplasma_phagocytophilum;10000;0;0;228;49;3824
Anaplasma_phagocytophilum;10000;0;1;219;42;3748
Anaplasma_phagocytophilum;10000;1;0;400;27;50684
Anaplasma_phagocytophilum;10000;1;1;398;22;50636
Anaplasma_phagocytophilum;100000;0;0;236;489;3828
Anaplasma_phagocytophilum;100000;0;1;223;410;3764
Anaplasma_phagocytophilum;100000;1;0;407;264;50684
Anaplasma_phagocytophilum;100000;1;1;405;225;50632
Anaplasma_phagocytophilum;1000000;0;0;224;4622;3816
Anaplasma_phagocytophilum;1000000;0;1;229;4523;3760
Anaplasma_phagocytophilum;1000000;1;0;497;3399;50676
Anaplasma_phagocytophilum;1000000;1;1;556;5316;50612
Escherichia_coli;100;0;0;739;0;10112
Escherichia_coli;100;0;1;727;0;9944
Escherichia_coli;100;1;0;1976;0;157956
Escherichia_coli;100;1;1;2978;0;157800
Escherichia_coli;1000;0;0;1031;6;10112
Escherichia_coli;1000;0;1;780;4;9944
Escherichia_coli;1000;1;0;1382;3;157984
Escherichia_coli;1000;1;1;1381;3;157792
Escherichia_coli;10000;0;0;763;58;10112
Escherichia_coli;10000;0;1;763;47;9956
Escherichia_coli;10000;1;0;1360;30;157980
Escherichia_coli;10000;1;1;1625;38;157792
Escherichia_coli;100000;0;0;963;529;10120
Escherichia_coli;100000;0;1;1080;551;9948
Escherichia_coli;100000;1;0;1878;314;157972
Escherichia_coli;100000;1;1;1406;243;157796
Escherichia_coli;1000000;0;0;777;5157;10124
Escherichia_coli;1000000;0;1;905;4837;9940
Escherichia_coli;1000000;1;0;1449;3765;157976
Escherichia_coli;1000000;1;1;2726;3180;157796
Mycobacterium_tuberculosis;100;0;0;742;2;9664
Mycobacterium_tuberculosis;100;0;1;800;1;9504
Mycobacterium_tuberculosis;100;1;0;1299;0;150204
Mycobacterium_tuberculosis;100;1;1;1291;0;149996
Mycobacterium_tuberculosis;1000;0;0;797;6;9676
Mycobacterium_tuberculosis;1000;0;1;774;6;9508
Mycobacterium_tuberculosis;1000;1;0;1321;2;150200
Mycobacterium_tuberculosis;1000;1;1;1314;2;150020
Mycobacterium_tuberculosis;10000;0;0;713;49;9688
Mycobacterium_tuberculosis;10000;0;1;873;56;9508
Mycobacterium_tuberculosis;10000;1;0;1880;39;150192
Mycobacterium_tuberculosis;10000;1;1;1625;33;149988
Mycobacterium_tuberculosis;100000;0;0;950;646;9672
Mycobacterium_tuberculosis;100000;0;1;963;522;9460
Mycobacterium_tuberculosis;100000;1;0;1497;386;150196
Mycobacterium_tuberculosis;100000;1;1;1404;323;150020
Mycobacterium_tuberculosis;1000000;0;0;895;8178;5688
Mycobacterium_tuberculosis;1000000;0;1;777;5005;9500
Mycobacterium_tuberculosis;1000000;1;0;1400;3734;150192
Mycobacterium_tuberculosis;1000000;1;1;1484;3183;149984
Salmonella_enterica;100;0;0;801;1;10736
Salmonella_enterica;100;0;1;948;0;10556
Salmonella_enterica;100;1;0;1559;0;168448
Salmonella_enterica;100;1;1;1538;0;168264
Salmonella_enterica;1000;0;0;850;6;10736
Salmonella_enterica;1000;0;1;865;4;10548
Salmonella_enterica;1000;1;0;1621;3;168440
Salmonella_enterica;1000;1;1;1891;3;168240
Salmonella_enterica;10000;0;0;1070;62;10724
Salmonella_enterica;10000;0;1;772;41;10544
Salmonella_enterica;10000;1;0;1408;29;168456
Salmonella_enterica;10000;1;1;1436;24;168252
Salmonella_enterica;100000;0;0;805;471;10732
Salmonella_enterica;100000;0;1;829;688;10548
Salmonella_enterica;100000;1;0;2125;505;168456
Salmonella_enterica;100000;1;1;1511;278;168268
Salmonella_enterica;1000000;0;0;819;5212;10744
Salmonella_enterica;1000000;0;1;909;5083;10548
Salmonella_enterica;1000000;1;0;1628;4598;49140
Salmonella_enterica;1000000;1;1;1546;2314;168272
