length;num_cmds;vector;rbtree;create_time;cmd_time;memory_kb
100;100;1;1;0;0;824
100;100;1;0;0;0;812
100;100;0;1;0;0;812
100;100;0;0;0;0;812
100;1000;1;1;0;5;824
100;1000;1;0;0;5;852
100;1000;0;1;0;4;828
100;1000;0;0;0;5;852
100;10000;1;1;0;46;860
100;10000;1;0;0;54;852
100;10000;0;1;0;46;856
100;10000;0;0;0;55;860
100;100000;1;1;0;478;852
100;100000;1;0;0;573;852
100;100000;0;1;0;464;852
100;100000;0;0;0;923;852
100;1000000;1;1;0;4709;856
100;1000000;1;0;0;5741;848
100;1000000;0;1;0;4733;852
100;1000000;0;0;0;5743;852
1000;100;1;1;0;1;856
1000;100;1;0;0;0;828
1000;100;0;1;0;0;844
1000;100;0;0;0;0;844
1000;1000;1;1;0;6;852
1000;1000;1;0;0;7;856
1000;1000;0;1;0;4;856
1000;1000;0;0;0;5;872
1000;10000;1;1;0;60;852
1000;10000;1;0;0;65;852
1000;10000;0;1;0;47;872
1000;10000;0;0;0;59;884
1000;100000;1;1;0;558;852
1000;100000;1;0;0;652;852
1000;100000;0;1;0;501;884
1000;100000;0;0;0;583;884
1000;1000000;1;1;0;5268;852
1000;1000000;1;0;0;6926;860
1000;1000000;0;1;0;5074;884
1000;1000000;0;0;0;6005;884
10000;100;1;1;2;0;872
10000;100;1;0;1;0;832
10000;100;0;1;2;0;1160
10000;100;0;0;3;0;1204
10000;1000;1;1;1;4;888
10000;1000;1;0;1;5;860
10000;1000;0;1;4;7;1176
10000;1000;0;0;4;3;1200
10000;10000;1;1;2;44;888
10000;10000;1;0;1;39;872
10000;10000;0;1;2;33;1216
10000;10000;0;0;2;35;1188
10000;100000;1;1;1;412;892
10000;100000;1;0;1;419;892
10000;100000;0;1;2;336;1188
10000;100000;0;0;2;344;1196
10000;1000000;1;1;1;3859;876
10000;1000000;1;0;1;3989;872
10000;1000000;0;1;2;4311;1188
10000;1000000;0;0;2;4261;1196
100000;100;1;1;17;0;1072
100000;100;1;0;18;0;1076
100000;100;0;1;31;0;4260
100000;100;0;0;45;0;4260
100000;1000;1;1;20;6;1080
100000;1000;1;0;20;5;1068
100000;1000;0;1;41;6;4276
100000;1000;0;0;29;3;4260
100000;10000;1;1;17;50;1068
100000;10000;1;0;15;47;1080
100000;10000;0;1;63;144;4260
100000;10000;0;0;47;49;4248
100000;100000;1;1;16;549;1096
100000;100000;1;0;15;440;1072
100000;100000;0;1;38;399;4260
100000;100000;0;0;29;473;4248
100000;1000000;1;1;19;4607;1080
100000;1000000;1;0;15;4299;1064
100000;1000000;0;1;27;3432;4260
100000;1000000;0;0;28;2818;4268
1000000;100;1;1;158;1;2864
1000000;100;1;0;153;0;2824
1000000;100;0;1;278;0;34720
1000000;100;0;0;281;0;34688
1000000;1000;1;1;155;5;2872
1000000;1000;1;0;160;4;2840
1000000;1000;0;1;278;3;34712
1000000;1000;0;0;280;2;34688
1000000;10000;1;1;157;48;2872
1000000;10000;1;0;155;42;2832
1000000;10000;0;1;281;27;34728
1000000;10000;0;0;288;24;34692
1000000;100000;1;1;154;460;2876
1000000;100000;1;0;156;423;2840
1000000;100000;0;1;281;267;34708
1000000;100000;0;0;273;230;34684
1000000;1000000;1;1;153;4696;2872
1000000;1000000;1;0;152;4231;2832
1000000;1000000;0;1;277;3132;34736
1000000;1000000;0;0;317;3000;34672
