name;num_cmds;vector;rbtree;create_time;cmd_time;memory_kb
Anaplasma_phagocytophilum;1000000;1;1;194;7231;16548
Anaplasma_phagocytophilum;1000000;1;0;168;3442;16416
Anaplasma_phagocytophilum;1000000;0;1;256;1699;109100
Anaplasma_phagocytophilum;1000000;0;0;245;1065;109108
Anaplasma_phagocytophilum;100000;1;1;169;749;16548
Anaplasma_phagocytophilum;100000;1;0;171;337;16416
Anaplasma_phagocytophilum;100000;0;1;254;172;109100
Anaplasma_phagocytophilum;100000;0;0;249;105;109108
Anaplasma_phagocytophilum;10000;1;1;169;74;16548
Anaplasma_phagocytophilum;10000;1;0;169;32;16416
Anaplasma_phagocytophilum;10000;0;1;246;15;109100
Anaplasma_phagocytophilum;10000;0;0;241;10;109108
Anaplasma_phagocytophilum;1000;1;1;167;7;16548
Anaplasma_phagocytophilum;1000;1;0;170;3;16416
Anaplasma_phagocytophilum;1000;0;1;244;1;109100
Anaplasma_phagocytophilum;1000;0;0;250;1;109108
Anaplasma_phagocytophilum;100;1;1;171;0;16548
Anaplasma_phagocytophilum;100;1;0;170;0;16416
Anaplasma_phagocytophilum;100;0;1;250;0;109100
Anaplasma_phagocytophilum;100;0;0;245;0;109108
Escherichia_coli;1000000;1;1;677;7364;24452
Escherichia_coli;1000000;1;0;541;3387;24188
Escherichia_coli;1000000;0;1;938;1475;316508
Escherichia_coli;1000000;0;0;796;1065;316400
Escherichia_coli;100000;1;1;565;742;24452
Escherichia_coli;100000;1;0;537;340;24188
Escherichia_coli;100000;0;1;772;142;316508
Escherichia_coli;100000;0;0;792;106;316400
Escherichia_coli;10000;1;1;529;73;24452
Escherichia_coli;10000;1;0;541;32;24188
Escherichia_coli;10000;0;1;774;14;316508
Escherichia_coli;10000;0;0;773;11;316400
Escherichia_coli;1000;1;1;531;6;24452
Escherichia_coli;1000;1;0;524;3;24188
Escherichia_coli;1000;0;1;777;1;316508
Escherichia_coli;1000;0;0;771;1;316400
Escherichia_coli;100;1;1;524;0;24452
Escherichia_coli;100;1;0;523;0;24188
Escherichia_coli;100;0;1;783;0;316508
Escherichia_coli;100;0;0;769;0;316400
Mycobacterium_tuberculosis;1000000;1;1;699;7100;23940
Mycobacterium_tuberculosis;1000000;1;0;496;3337;23808
Mycobacterium_tuberculosis;1000000;0;1;734;1466;301424
Mycobacterium_tuberculosis;1000000;0;0;753;1121;301312
Mycobacterium_tuberculosis;100000;1;1;507;725;23940
Mycobacterium_tuberculosis;100000;1;0;509;335;23808
Mycobacterium_tuberculosis;100000;0;1;751;159;301424
Mycobacterium_tuberculosis;100000;0;0;760;115;301312
Mycobacterium_tuberculosis;10000;1;1;508;69;23940
Mycobacterium_tuberculosis;10000;1;0;506;34;23808
Mycobacterium_tuberculosis;10000;0;1;749;13;301424
Mycobacterium_tuberculosis;10000;0;0;744;10;301312
Mycobacterium_tuberculosis;1000;1;1;499;7;23940
Mycobacterium_tuberculosis;1000;1;0;515;3;23808
Mycobacterium_tuberculosis;1000;0;1;766;1;301424
Mycobacterium_tuberculosis;1000;0;0;738;1;301312
Mycobacterium_tuberculosis;100;1;1;503;0;23940
Mycobacterium_tuberculosis;100;1;0;509;1;23808
Mycobacterium_tuberculosis;100;0;1;754;0;301424
Mycobacterium_tuberculosis;100;0;0;734;0;301312
Salmonella_enterica;1000000;1;1;656;7338;25220
Salmonella_enterica;1000000;1;0;564;3416;24956
Salmonella_enterica;1000000;0;1;871;1639;336740
Salmonella_enterica;1000000;0;0;850;1107;336608
Salmonella_enterica;100000;1;1;574;739;25220
Salmonella_enterica;100000;1;0;590;349;24956
Salmonella_enterica;100000;0;1;842;143;336740
Salmonella_enterica;100000;0;0;837;109;336608
Salmonella_enterica;10000;1;1;574;72;25220
Salmonella_enterica;10000;1;0;571;35;24956
Salmonella_enterica;10000;0;1;840;14;336740
Salmonella_enterica;10000;0;0;826;10;336608
Salmonella_enterica;1000;1;1;569;7;25220
Salmonella_enterica;1000;1;0;579;2;24956
Salmonella_enterica;1000;0;1;844;1;336740
Salmonella_enterica;1000;0;0;841;1;336608
Salmonella_enterica;100;1;1;561;0;25220
Salmonella_enterica;100;1;0;555;0;24956
Salmonella_enterica;100;0;1;814;0;336740
Salmonella_enterica;100;0;0;825;0;336608
