length;num_cmds;vector;rbtree;create_time;cmd_time;memory_kb
1000000;1000000;1;1;131;10414;15392
1000000;1000000;1;0;137;4405;15260
1000000;1000000;0;1;204;2753;78224
1000000;1000000;0;0;624;2081;78224
1000000;100000;1;1;119;1320;15392
1000000;100000;1;0;122;471;15260
1000000;100000;0;1;232;152;78224
1000000;100000;0;0;173;216;78224
1000000;10000;1;1;119;81;15392
1000000;10000;1;0;122;33;15260
1000000;10000;0;1;261;73;78224
1000000;10000;0;0;240;11;78224
1000000;1000;1;1;119;9;15392
1000000;1000;1;0;128;7;15260
1000000;1000;0;1;255;2;78224
1000000;1000;0;0;175;1;78224
1000000;100;1;1;117;2;15392
1000000;100;1;0;117;0;15260
1000000;100;0;1;232;0;78224
1000000;100;0;0;211;0;78224
100000;1000000;1;1;14;10353;13072
100000;1000000;1;0;11;3885;13072
100000;1000000;0;1;19;2597;19412
100000;1000000;0;0;18;2011;19412
100000;100000;1;1;11;1145;13072
100000;100000;1;0;15;449;13072
100000;100000;0;1;19;233;19412
100000;100000;0;0;19;163;19412
100000;10000;1;1;12;118;13072
100000;10000;1;0;13;37;13072
100000;10000;0;1;19;25;19412
100000;10000;0;0;29;25;19412
100000;1000;1;1;13;11;13072
100000;1000;1;0;13;3;13072
100000;1000;0;1;19;3;19412
100000;1000;0;0;19;1;19412
100000;100;1;1;13;3;13072
100000;100;1;0;13;0;13072
100000;100;0;1;23;0;19412
100000;100;0;0;19;0;19412
10000;1000000;1;1;2;8747;12816
10000;1000000;1;0;1;3551;12816
10000;1000000;0;1;1;2411;13476
10000;1000000;0;0;2;2409;13476
10000;100000;1;1;1;812;12816
10000;100000;1;0;2;362;12816
10000;100000;0;1;2;243;13476
10000;100000;0;0;2;236;13476
10000;10000;1;1;1;81;12816
10000;10000;1;0;1;34;12816
10000;10000;0;1;1;22;13476
10000;10000;0;0;1;23;13476
10000;1000;1;1;1;8;12816
10000;1000;1;0;1;3;12816
10000;1000;0;1;1;2;13476
10000;1000;0;0;1;2;13476
10000;100;1;1;1;1;12816
10000;100;1;0;1;0;12816
10000;100;0;1;1;0;13476
10000;100;0;0;1;0;13476
1000;1000000;1;1;0;7546;12816
1000;1000000;1;0;0;7586;12816
1000;1000000;0;1;0;5839;12948
1000;1000000;0;0;0;6029;12948
1000;100000;1;1;0;698;12816
1000;100000;1;0;0;714;12816
1000;100000;0;1;0;830;12948
1000;100000;0;0;0;655;12948
1000;10000;1;1;0;66;12816
1000;10000;1;0;0;69;12816
1000;10000;0;1;0;52;12948
1000;10000;0;0;0;84;12948
1000;1000;1;1;0;11;12816
1000;1000;1;0;0;15;12816
1000;1000;0;1;0;6;12948
1000;1000;0;0;0;9;12948
1000;100;1;1;0;1;12816
1000;100;1;0;0;1;12816
1000;100;0;1;0;2;12948
1000;100;0;0;0;0;12948
100;1000000;1;1;1;6090;12816
100;1000000;1;0;0;5903;12816
100;1000000;0;1;0;4508;12816
100;1000000;0;0;0;5763;12816
100;100000;1;1;0;485;12816
100;100000;1;0;0;569;12816
100;100000;0;1;0;463;12816
100;100000;0;0;0;567;12816
100;10000;1;1;0;48;12816
100;10000;1;0;0;57;12816
100;10000;0;1;0;48;12816
100;10000;0;0;0;56;12816
100;1000;1;1;0;5;12816
100;1000;1;0;0;5;12816
100;1000;0;1;0;4;12816
100;1000;0;0;0;5;12816
100;100;1;1;0;1;12816
100;100;1;0;0;0;12816
100;100;0;1;0;0;12816
100;100;0;0;0;0;12816
