name;num_cmds;vector;rbtree;create_time;cmd_time;memory_kb
Anaplasma_phagocytophilum;100;1;1;223;0;3808
Anaplasma_phagocytophilum;100;1;0;253;0;3744
Anaplasma_phagocytophilum;100;0;1;411;0;50664
Anaplasma_phagocytophilum;100;0;0;426;0;50612
Anaplasma_phagocytophilum;1000;1;1;216;4;3808
Anaplasma_phagocytophilum;1000;1;0;226;3;3752
Anaplasma_phagocytophilum;1000;0;1;392;2;50664
Anaplasma_phagocytophilum;1000;0;0;388;2;50616
Anaplasma_phagocytophilum;10000;1;1;226;43;3808
Anaplasma_phagocytophilum;10000;1;0;228;40;3748
Anaplasma_phagocytophilum;10000;0;1;384;25;50676
Anaplasma_phagocytophilum;10000;0;0;386;22;50616
Anaplasma_phagocytophilum;100000;1;1;225;420;3812
Anaplasma_phagocytophilum;100000;1;0;218;408;3760
Anaplasma_phagocytophilum;100000;0;1;399;278;50672
Anaplasma_phagocytophilum;100000;0;0;393;227;50592
Anaplasma_phagocytophilum;1000000;1;1;228;4251;3800
Anaplasma_phagocytophilum;1000000;1;0;225;4013;3756
Anaplasma_phagocytophilum;1000000;0;1;393;2641;50672
Anaplasma_phagocytophilum;1000000;0;0;390;2292;50620
Escherichia_coli;100;1;1;697;0;10108
Escherichia_coli;100;1;0;693;0;9900
Escherichia_coli;100;0;1;1252;0;157956
Escherichia_coli;100;0;0;1227;0;157752
Escherichia_coli;1000;1;1;693;5;10124
Escherichia_coli;1000;1;0;691;3;9900
Escherichia_coli;1000;0;1;1240;2;157976
Escherichia_coli;1000;0;0;1244;3;157756
Escherichia_coli;10000;1;1;699;44;10116
Escherichia_coli;10000;1;0;717;39;9936
Escherichia_coli;10000;0;1;1326;34;157964
Escherichia_coli;10000;0;0;1232;21;157784
Escherichia_coli;100000;1;1;697;430;10116
Escherichia_coli;100000;1;0;697;413;9940
Escherichia_coli;100000;0;1;1573;294;157960
Escherichia_coli;100000;0;0;1661;264;157748
Escherichia_coli;1000000;1;1;734;4396;10108
Escherichia_coli;1000000;1;0;706;4152;9944
Escherichia_coli;1000000;0;1;1229;2703;157964
Escherichia_coli;1000000;0;0;1296;2739;157780
Mycobacterium_tuberculosis;100;1;1;982;0;9664
Mycobacterium_tuberculosis;100;1;0;779;0;9496
Mycobacterium_tuberculosis;100;0;1;1375;1;150196
Mycobacterium_tuberculosis;100;0;0;1246;0;149980
Mycobacterium_tuberculosis;1000;1;1;696;5;9668
Mycobacterium_tuberculosis;1000;1;0;682;3;9496
Mycobacterium_tuberculosis;1000;0;1;1211;2;150188
Mycobacterium_tuberculosis;1000;0;0;1240;3;150016
Mycobacterium_tuberculosis;10000;1;1;710;44;9664
Mycobacterium_tuberculosis;10000;1;0;683;41;9468
Mycobacterium_tuberculosis;10000;0;1;1280;40;150184
Mycobacterium_tuberculosis;10000;0;0;1617;22;149984
Mycobacterium_tuberculosis;100000;1;1;852;500;9668
Mycobacterium_tuberculosis;100000;1;0;691;398;9488
Mycobacterium_tuberculosis;100000;0;1;1263;268;150184
Mycobacterium_tuberculosis;100000;0;0;1175;320;150016
Mycobacterium_tuberculosis;1000000;1;1;812;4667;9672
Mycobacterium_tuberculosis;1000000;1;0;688;4254;9500
Mycobacterium_tuberculosis;1000000;0;1;1242;2819;150188
Mycobacterium_tuberculosis;1000000;0;0;1179;2282;149984
Salmonella_enterica;100;1;1;758;0;10732
Salmonella_enterica;100;1;0;771;0;10532
Salmonella_enterica;100;0;1;1381;0;168444
Salmonella_enterica;100;0;0;1310;0;168244
Salmonella_enterica;1000;1;1;761;6;10728
Salmonella_enterica;1000;1;0;776;4;10504
Salmonella_enterica;1000;0;1;1334;3;168432
Salmonella_enterica;1000;0;0;1328;2;168260
Salmonella_enterica;10000;1;1;746;44;10728
Salmonella_enterica;10000;1;0;814;40;10536
Salmonella_enterica;10000;0;1;1347;30;168432
Salmonella_enterica;10000;0;0;1407;22;168244
Salmonella_enterica;100000;1;1;750;434;10732
Salmonella_enterica;100000;1;0;762;396;10528
Salmonella_enterica;100000;0;1;1446;503;168436
Salmonella_enterica;100000;0;0;1362;240;168248
Salmonella_enterica;1000000;1;1;795;4470;10720
Salmonella_enterica;1000000;1;0;744;4500;10508
Salmonella_enterica;1000000;0;1;1576;3069;168448
Salmonella_enterica;1000000;0;0;1392;2365;168260
